# t_us_pico,raw,volt
1536034,32711,1.6472
1540032,34072,1.7157
1544036,35000,1.7624
1548033,34200,1.7221
1552033,32888,1.6561
1556035,32711,1.6472
1560035,34312,1.7278
1564034,35128,1.7689
1568030,34232,1.7237
1572031,32776,1.6504
1576036,32856,1.6545
1580031,34120,1.7181
1584032,34904,1.7576
1588036,33976,1.7109
1592037,32711,1.6472
1596036,32856,1.6545
1600034,34296,1.7270
1604030,34744,1.7495
1608034,33944,1.7092
1612029,32872,1.6553
1616037,32743,1.6488
1620033,33992,1.7117
1624036,34744,1.7495
1628038,33800,1.7020
1632037,32503,1.6367
1636031,32295,1.6262
1640033,33912,1.7076
1644033,34856,1.7552
1648033,34104,1.7173
1652030,32840,1.6537
1656036,32872,1.6553
1660036,34168,1.7205
1664030,35032,1.7640
1668036,34136,1.7189
1672032,32583,1.6407
1676029,32567,1.6399
1680031,33944,1.7092
1684029,34808,1.7527
1688034,33944,1.7092
1692032,32936,1.6585
1696032,32407,1.6318
1700034,33864,1.7052
1704033,34872,1.7560
1708033,34056,1.7149
1712030,32904,1.6569
1716034,32679,1.6455
1720036,34280,1.7262
1724032,34968,1.7608
1728033,33784,1.7012
1732035,32519,1.6375
1736030,32663,1.6447
1740032,33752,1.6996
1744030,34472,1.7358
1748035,33592,1.6915
1752036,32279,1.6254
1756033,32295,1.6262
1760031,33768,1.7004
1764033,34392,1.7318
1768029,33640,1.6939
1772033,32311,1.6270
1776033,32263,1.6246
1780031,33880,1.7060
1784036,34856,1.7552
1788033,34120,1.7181
1792031,32567,1.6399
1796031,32439,1.6335
1800033,33832,1.7036
1804035,34568,1.7407
1808035,33560,1.6899
1812031,32439,1.6335
1816033,32647,1.6439
1820034,34168,1.7205
1824032,34840,1.7544
1828035,33848,1.7044
1832032,32375,1.6302
1836031,32311,1.6270
1840037,33912,1.7076
1844034,34760,1.7503
1848033,33800,1.7020
1852034,32423,1.6327
1856037,31943,1.6085
1860034,33576,1.6907
1864037,34472,1.7358
1868030,33608,1.6923
1872033,32183,1.6206
1876034,32183,1.6206
1880029,33528,1.6883
1884034,34248,1.7246
1888035,33688,1.6964
1892035,32103,1.6165
1896035,32295,1.6262
1900030,33704,1.6972
1904031,34712,1.7479
1908031,33688,1.6964
1912033,32103,1.6165
1916037,32263,1.6246
1920034,33912,1.7076
1924032,34648,1.7447
1928031,33704,1.6972
1932037,32423,1.6327
1936030,32007,1.6117
1940033,33592,1.6915
1944033,34392,1.7318
1948033,33528,1.6883
1952036,32007,1.6117
1956032,32023,1.6125
1960033,33448,1.6843
1964033,34248,1.7246
1968032,33320,1.6778
1972034,31991,1.6109
1976034,32183,1.6206
1980031,33576,1.6907
1984032,34312,1.7278
1988036,33736,1.6988
1992030,32215,1.6222
1996034,32135,1.6182
2000032,33688,1.6964
2004029,34248,1.7246
2008035,33160,1.6698
2012036,31735,1.5980
2016032,31943,1.6085
2020029,33160,1.6698
2024032,34184,1.7213
2028029,33160,1.6698
2032035,31959,1.6093
2036032,32071,1.6149
2040030,33640,1.6939
2044031,34504,1.7374
2048033,33816,1.7028
2052032,32647,1.6439
2056033,32583,1.6407
2060034,34280,1.7262
2064030,35256,1.7753
2068036,34696,1.7471
2072034,33688,1.6964
2076029,34072,1.7157
2080036,35608,1.7930
2084036,36200,1.8228
2088031,35496,1.7874
2092029,34360,1.7302
2096033,34184,1.7213
2100031,35240,1.7745
2104035,35512,1.7882
2108030,33896,1.7068
2112031,32343,1.6286
2116034,31767,1.5996
2120037,32984,1.6609
2124031,33640,1.6939
2128037,32888,1.6561
2132031,31479,1.5851
2136031,31143,1.5682
2140031,32503,1.6367
2144037,33240,1.6738
2148035,32247,1.6238
2152034,31111,1.5666
2156030,31159,1.5690
2160032,32567,1.6399
2164035,33304,1.6770
2168033,32167,1.6198
2172034,30807,1.5513
2176028,30999,1.5609
2180031,32391,1.6310
2184033,32936,1.6585
2188036,31431,1.5827
2192031,29495,1.4852
2196031,29271,1.4739
2200034,30951,1.5585
2204037,32487,1.6359
2208036,32663,1.6447
2212033,32952,1.6593
2216037,36104,1.8180
2220034,40281,2.0283
2224033,43386,2.1847
2228035,43786,2.2048
2232032,41466,2.0880
2236037,39337,1.9808
2240034,38345,1.9309
2244033,36456,1.8357
2248035,32904,1.6569
2252031,30039,1.5126
2256034,29495,1.4852
2260036,30647,1.5432
2264034,31895,1.6061
2268032,31527,1.5875
2272035,30359,1.5287
2276032,30519,1.5368
2280035,31559,1.5891
2284037,32247,1.6238
2288031,31175,1.5698
2292033,29975,1.5094
2296031,30327,1.5271
2300034,31655,1.5940
2304032,32279,1.6254
2308032,31671,1.5948
2312030,30359,1.5287
2316037,30343,1.5279
2320035,32103,1.6165
2324031,32439,1.6335
2328031,31815,1.6020
2332032,30327,1.5271
2336033,30503,1.5360
2340033,31911,1.6069
2344035,32535,1.6383
2348031,31559,1.5891
2352035,30423,1.5319
2356034,30535,1.5376
2360032,32103,1.6165
2364033,32952,1.6593
2368036,32055,1.6141
2372031,30647,1.5432
2376030,30791,1.5505
2380035,32279,1.6254
2384036,33176,1.6706
2388034,32455,1.6343
2392036,31591,1.5908
2396033,31335,1.5779
2400031,32743,1.6488
2404030,33560,1.6899
2408032,32631,1.6431
2412033,31447,1.5835
2416030,31735,1.5980
2420031,33400,1.6818
2424035,34312,1.7278
2428035,33512,1.6875
2432035,32519,1.6375
2436032,33032,1.6633
2440032,34344,1.7294
2444030,35016,1.7632
2448033,34184,1.7213
2452033,32952,1.6593
2456035,33080,1.6657
2460032,34344,1.7294
2464031,35288,1.7769
2468036,34472,1.7358
2472032,33128,1.6682
2476032,33336,1.6786
2480032,34728,1.7487
2484033,35096,1.7673
2488032,33912,1.7076
2492037,32215,1.6222
2496036,32247,1.6238
2500034,33304,1.6770
2504038,33608,1.6923
2508035,32519,1.6375
2512036,31063,1.5642
2516032,31335,1.5779
2520033,32792,1.6512
2524033,33352,1.6794
2528035,32375,1.6302
2532032,30951,1.5585
2536037,30887,1.5553
2540032,32295,1.6262
2544038,32984,1.6609
2548031,31959,1.6093
2552033,30759,1.5489
2556032,30615,1.5416
2560030,32167,1.6198
2564034,33080,1.6657
2568030,31895,1.6061
2572031,30743,1.5481
2576032,30791,1.5505
2580032,32279,1.6254
2584031,33192,1.6714
2588033,32119,1.6173
2592034,30775,1.5497
2596036,30983,1.5601
2600031,32231,1.6230
2604030,33320,1.6778
2608033,31959,1.6093
2612030,30727,1.5473
2616032,30983,1.5601
2620034,32535,1.6383
2624031,33192,1.6714
2628032,32231,1.6230
2632033,30903,1.5561
2636031,31415,1.5819
2640031,32711,1.6472
2644035,33528,1.6883
2648032,32215,1.6222
2652034,30775,1.5497
2656034,31159,1.5690
2660035,32215,1.6222
2664032,32727,1.6480
2668032,31927,1.6077
2672029,30599,1.5408
2676032,30727,1.5473
2680037,32439,1.6335
2684031,33224,1.6730
2688031,32311,1.6270
2692033,30983,1.5601
2696032,30983,1.5601
2700032,32359,1.6294
2704038,33336,1.6786
2708037,32039,1.6133
2712035,30807,1.5513
2716033,31319,1.5771
2720032,32631,1.6431
2724030,33352,1.6794
2728034,32824,1.6528
2732032,31335,1.5779
2736034,31223,1.5722
2740035,32952,1.6593
2744036,33640,1.6939
2748034,32407,1.6318
2752037,31255,1.5738
2756033,30871,1.5545
2760037,32439,1.6335
2764035,33416,1.6827
2768035,32343,1.6286
2772036,31031,1.5626
2776031,30823,1.5521
2780034,32279,1.6254
2784032,33064,1.6649
2788032,32359,1.6294
2792031,30951,1.5585
2796031,30967,1.5593
2800029,32711,1.6472
2804033,33144,1.6690
2808035,32263,1.6246
2812036,30951,1.5585
2816030,31031,1.5626
2820032,32439,1.6335
2824038,33208,1.6722
2828032,32359,1.6294
2832030,30967,1.5593
2836032,31623,1.5924
2840034,32904,1.6569
2844031,33800,1.7020
2848035,32888,1.6561
2852034,31591,1.5908
2856037,32039,1.6133
2860035,33848,1.7044
2864037,34712,1.7479
2868036,34152,1.7197
2872033,33032,1.6633
2876035,32856,1.6545
2880031,34616,1.7431
2884030,35624,1.7938
2888036,34776,1.7511
2892032,33064,1.6649
2896032,32727,1.6480
2900033,33880,1.7060
2904034,33880,1.7060
2908038,32567,1.6399
2912029,30791,1.5505
2916034,30535,1.5376
2920031,31863,1.6045
2924034,32407,1.6318
2928036,31447,1.5835
2932036,30599,1.5408
2936033,30679,1.5448
2940032,31911,1.6069
2944033,32375,1.6302
2948032,31767,1.5996
2952031,30599,1.5408
2956036,30455,1.5336
2960032,31879,1.6053
2964031,32551,1.6391
2968031,31575,1.5900
2972035,30263,1.5239
2976036,30391,1.5303
2980036,31655,1.5940
2984034,32503,1.6367
2988032,31543,1.5883
2992038,29735,1.4973
2996036,29335,1.4772
3000037,30183,1.5199
3004032,30935,1.5577
3008030,30967,1.5593
3012036,30439,1.5327
3016032,32231,1.6230
3020030,36424,1.8341
3024031,40009,2.0146
3028036,41162,2.0727
3032035,41450,2.0872
3036030,40777,2.0533
3040031,40265,2.0275
3044030,38649,1.9462
3048032,35352,1.7801
3052031,31863,1.6045
3056032,29799,1.5005
3060033,30087,1.5150
3064035,30183,1.5199
3068035,29527,1.4868
3072034,28807,1.4506
3076029,29335,1.4772
3080030,31047,1.5634
3084035,31815,1.6020
3088036,30903,1.5561
3092037,29687,1.4949
3096037,30215,1.5215
3100032,31415,1.5819
3104033,32279,1.6254
3108037,31111,1.5666
3112036,30007,1.5110
3116033,30167,1.5191
3120034,32039,1.6133
3124033,32327,1.6278
3128031,31303,1.5763
3132031,30183,1.5199
3136034,30647,1.5432
3140031,31959,1.6093
